X,Grid,Year,site,mgmt,camtype,trapnights,avgprecip,pctsavanna,riverkm_perkm2,roadkm_perkm2,distboundarykm,distedgekm,avg_FRP,prey_det,preyper100tn,logprey,LionTrigs,human_occ,livest_occ,lion_occ,competitor_occ
94,M8,2017,ARL,NP,IR,94,28.25,0.84,4449.02403,6.16947,2.255831941,15.86068982,8.66086957,104,110.6382979,4.706266303,0,0.042670873,0.102721367,0.46454578,1
95,N1,2017,PCN,HC,IR,86,29.33333333,0.92,2583.050024,4.943038034,0.454471435,9.322703197,2.825,13,15.11627907,2.715772247,0,1,0.999989005,0.46454578,0.027947763
96,N10,2017,ARL,NP,WF,91,28.5,0.76,4963.869556,7.701281018,2.54667145,10.91363725,5.6,33,36.26373626,3.590818241,0,0.042670873,0.102721367,0.402511353,1
97,N11,2017,ARL,NP,IR,90,28.75,0.722222222,3109.309235,9.490559669,0.687372851,3.609753284,5.12,58,64.44444444,4.165803526,0,0.042670873,0.102721367,0.46454578,1
98,N17,2017,WBK,NP,IR,111,28,0.96,2400.521985,5.842725953,2.529621749,7.438318746,7.50666667,7,6.306306306,1.841550134,3,1,1,1,1
99,N18,2017,WBK,NP,WF,110,27.5,0.96,3167.216974,3.597480047,5.965086252,13.56505656,4.08571429,21,19.09090909,2.949212258,0,0.079946419,0.085210497,0.379157182,0.181573884
100,N2,2017,PN,HC,WF,86,29,0.909090909,2187.812036,4.498240995,4.191199214,16.53722138,8.22,16,18.60465116,2.923411612,0,0.255240043,0.999989005,0.402511353,1
101,N3,2017,PN,HC,WF,86,29,0.85,3723.432996,4.295521975,6.026198421,22.07035387,6.55,76,88.37209302,4.48155623,0,0.255240043,0.999989005,0.402511353,1
102,N4,2017,PN,HC,IR,85,29,0.76,4661.806732,5.796829653,3.162948669,29.39614991,1.2,114,134.1176471,4.898717378,1,0.255240043,0.999989005,1,1
103,N5,2017,ARL,NP,WF,85,28.75,0.92,2996.903708,4.757599586,0.792549466,28.44273234,7.5,14,16.47058824,2.801576259,0,0.042670873,0.102721367,0.402511353,1
104,N7,2017,ARL,NP,WF,94,29,0.92,1736.981388,5.46697677,9.922356642,13.8752776,0,22,23.40425532,3.152917857,0,0.042670873,0.102721367,0.402511353,1
105,N8,2017,ARL,NP,IR,92,29,0.96,1270.000299,2.921923018,10.89612629,10.89612629,13.7,17,18.47826087,2.916594953,0,0.042670873,0.102721367,0.46454578,1
106,N9,2017,ARL,NP,IR,91,29,1,794.3437927,3.953443027,6.193973506,13.35757394,0,28,30.76923077,3.42651519,0,0.042670873,0.102721367,0.46454578,1
107,O1,2017,PCN,HC,WF,86,30.33333333,0.84,3643.54397,6.291391981,8.095400949,7.709668733,20.25,48,55.81395349,4.022023901,0,0.318177791,0.999989005,0.402511353,1
108,O10,2017,ARL,NP,IR,94,29.75,0.8,2338.650116,8.403952226,6.870874414,11.23497854,12.5,325,345.7446809,5.845700586,1,0.042670873,0.102721367,1,0.148162934
109,O11,2017,ARL,NP,IR,94,29.5,0.833333333,2004.288977,6.917101824,4.390514205,4.390514205,6.05,47,50,3.912023005,0,1,0.102721367,0.46454578,1
110,O12,2017,ARL,NP,IR,94,29.5,0.764705882,2272.531165,4.367150623,3.541267632,3.541267632,6.5875,126,134.0425532,4.898157311,0,0.042670873,0.102721367,0.46454578,1
111,O13,2017,ARL,NP,IR,95,30,0.947368421,1098.277002,9.515088731,1.346688993,3.409476499,4.04,6,6.315789474,1.843052764,0,1,1,0.46454578,0.097798667
112,O2,2017,PCN,HC,IR,86,30,1,3226.568329,4.67315948,5.758921509,16.70995627,0,37,43.02325581,3.761740802,0,0.318177791,0.999989005,0.46454578,1
113,O3,2017,PCN,HC,IR,86,30,0.92,5108.444531,5.723229536,3.813880102,25.96568002,0,86,100,4.605170186,0,0.318177791,0.999989005,0.46454578,1
114,O4,2017,PCN,HC,WF,91,29.5,0.909090909,3838.603058,8.066149578,0.728922612,30.35544932,8.3,296,325.2747253,5.784670134,5,0.318177791,0.999989005,1,1
115,O5,2017,KON,HC,WF,88,30,1,1114.502674,1.842693996,1.837549227,24.60058227,8.9,25,28.40909091,3.346709196,0,0.209869704,0.999989005,0.402511353,1
116,O6,2017,KON,HC,WF,88,30,0.96,3865.976062,6.925124861,1.024111678,15.47638833,1.2,0,0,0,0,0.209869704,0.999989005,0.402511353,0.272331524
117,O9,2017,ARL,NP,IR,96,29.75,0.833333333,2743.194019,9.867515934,4.100913958,4.100913958,0,110,114.5833333,4.74130236,1,1,1,1,1
118,P12,2017,ARL,NP,IR,94,30.5,0.65,3374.646008,4.4207129,1.420619381,12.06551771,20.5,103,109.5744681,4.696604392,1,0.042670873,0.102721367,1,0.148162934
119,P13,2017,ARL,NP,IR,95,30.66666667,0.8,3678.606219,6.392275071,1.319596071,12.0182477,7.06,112,117.8947368,4.769792165,0,0.042670873,0.102721367,0.46454578,0.148298314
120,P2,2017,PCN,HC,WF,87,31.33333333,0.80952381,4419.744293,7.122468948,6.383692588,13.46764637,0,76,87.35632184,4.469995408,0,0.318177791,0.999989005,0.402511353,0.049086343
121,P3,2017,PCN,HC,IR,86,30.66666667,0.96,2171.360492,7.74779,7.201622482,17.00307978,0,14,16.27906977,2.78988022,0,0.318177791,0.999989005,0.46454578,1
